scan_px,center_median_px,center_sigma_px,z_median_mm,z_sigma_mm,valid_fraction,z_valid_fraction,stable
303,2131.736308604479,0.00788121462274998,-0.1702878357635882,0.002480475674250417,1.0,1.0,False
304,2131.739437699318,0.007436656010145561,-0.17673973921603192,0.0023405916804062643,1.0,1.0,False
305,2131.742885634303,0.0075945893581908395,-0.18329096082152319,0.002390333639250036,1.0,1.0,False
306,2131.744495123625,0.007978506817861079,-0.18926250634660846,0.0025112017983325223,1.0,1.0,False
307,2131.750138834119,0.007955295290306221,-0.19650277869874344,0.0025039376268337033,1.0,1.0,False
308,2131.7519646957517,0.007723265185783943,-0.20254034943320676,0.002430935996081546,1.0,1.0,False
309,2131.7294149398804,0.0076104886745294534,-0.20090450359884926,0.0023954151551173935,1.0,1.0,False
310,2131.66326443851,0.007702786656468299,-0.1855445330522798,0.0024243505463431713,1.0,1.0,False
311,2131.570776566863,0.008117178092700284,-0.1618954184772292,0.002554594041971344,1.0,1.0,False
312,2131.4861366152763,0.02872786152815456,-0.14071669815001542,0.00904075366796772,1.0,1.0,False
313,2131.4854134470224,0.008952663284781743,-0.14594576738051046,0.002817376206312844,1.0,1.0,False
314,2131.3986683040857,0.00858541816115296,-0.124103619721609,0.002701626022400792,1.0,1.0,False
315,2131.3287911713123,0.008189963700194713,-0.10756958346917145,0.002577051845169865,1.0,1.0,False
316,2131.317340388894,0.008143690321899369,-0.10941937065280172,0.00256249398674915,1.0,1.0,False
317,2131.362650409341,0.008585999187383175,-0.12912891671277293,0.002701812670119869,1.0,1.0,False
318,2131.4171691685915,0.00914416621203901,-0.151736236244858,0.00287763185138657,1.0,1.0,False
319,2131.458100736141,0.009620353526568025,-0.17006764988951772,0.003027633166216644,1.0,1.0,False
320,2131.4844843000174,0.010169148838382285,-0.18382015609364544,0.003200454244377885,1.0,1.0,False
321,2131.486253067851,0.010112863201052423,-0.18982498394780123,0.0031827818984551605,1.0,1.0,False
322,2131.4658447802067,0.00906233178170371,-0.1888490525241764,0.0028521287074015035,1.0,1.0,False
323,2131.4470859467983,0.008183560363911255,-0.188391152329757,0.0025755410907645966,1.0,1.0,False
324,2131.442245334387,0.008323042686287703,-0.19231252643402286,0.0026194560036300403,1.0,1.0,False
325,2131.439023464918,0.009148917968903703,-0.19674227126432697,0.002879404588308778,1.0,1.0,False
326,2131.4357421845198,0.010342585932941503,-0.20115223506365965,0.0032551104066306513,1.0,1.0,False
327,2131.426087528467,0.011443034209779768,-0.20355521921794661,0.003601460604517047,1.0,1.0,False
328,2131.407337218523,0.011500792335995188,-0.20309443099898772,0.0036196126882293445,1.0,1.0,False
