frame_a,frame_b,normal_angle_diff_deg,translation_difference_mm,tvec_difference_mm,depth_difference_mm,camera_board_distance_difference_mm,v_overlap_100px_jaccard,v_overlap_10px_jaccard,v_interval_overlap_px,v_interval_union_px,v_interval_iou,lambda_interval_overlap_mm,lambda_interval_iou,lambda_span_difference_mm,geometric_distance,geometric_similarity,near_duplicate_strict,near_duplicate_candidate,similarity_rank
049,053,8.07817341522612,88.40844964431219,82.66116140966406,20.569813220699643,20.54237404493813,0.4,0.2413793103448276,1047.997225434527,2949.0097847036313,0.3553725833228622,0.0,0.0,1.4024107907581538,1.3517313503217379,0.2587918132589998,False,False,83
010,034,11.201328825772316,88.7882452292035,168.08132155302198,11.12994544953176,12.347883846925015,0.6896551724137931,0.6666666666666666,1819.974889013903,2725.0030142565784,0.6678799544412318,0.0,0.0,0.9609021964835165,1.3523963374185453,0.25861977724962604,False,False,84
030,034,11.840150825644827,35.08784631093904,211.88061989644746,16.830868145771774,16.476853801508582,0.8,0.7814814814814814,2284.987975879878,2891.9835131954796,0.7901109966408814,0.0,0.0,6.490531781264281,1.3567699610883155,0.2574911415833083,False,False,85
033,034,12.212486793858965,17.941986884060945,41.637223557222214,15.24004629418937,14.795985335617729,0.9642857142857143,0.8939393939393939,2585.995318735692,2623.9894381041013,0.9855204754955641,0.0,0.0,7.243889461244066,1.3587406668058917,0.25698420199680166,False,False,86
012,029,2.2327913711588203,65.16964607402547,191.707059206558,35.58175524148919,36.06574235508742,0.6206896551724138,0.608540925266904,1703.9858256157308,2794.0191257585434,0.6098690627799903,0.0,0.0,5.439565330143978,1.3626625941976365,0.25597830243761655,False,False,87
009,030,13.3499459295612,36.74632448625101,153.3601266464736,17.769057659273926,19.78158705757471,0.7692307692307693,0.6530612244897959,1871.9491955290614,2553.990148989363,0.7329508284398859,0.0,0.0,0.6470750060452701,1.3639656490769825,0.25564496588669383,False,False,88
029,036,1.0147761624954794,48.50026157725129,223.14991518466005,40.9229160901466,41.475853048869794,0.7666666666666667,0.78125,2253.739112093418,2867.975034792538,0.7858294039356755,0.0,0.0,4.312152829476304,1.3701613008237168,0.25406597519640634,False,False,89
010,018,10.148534296752082,33.28457934343517,166.39738334838964,28.684869938031397,28.641181206477768,0.8076923076923077,0.7649402390438247,1921.996563184487,2492.9936334677896,0.7709592745774334,0.0,0.0,5.128111968579333,1.3725648346972499,0.25345605229770896,False,False,90
005,010,9.709107477451655,47.30457827148804,139.01617596436657,27.561721301535272,28.106180538975877,0.6896551724137931,0.6690647482014388,1864.969534187472,2767.045008698828,0.6739932051428585,0.0,0.0,5.3208304217049545,1.382727778356713,0.25089323764692206,False,False,91
013,034,1.457219810244818,55.03251589374301,230.91682488215176,42.930688113744395,42.07750930234886,0.9285714285714286,0.9125475285171103,2472.0161313560816,2622.9813400859944,0.9424451838742538,0.0,0.0,1.2616558462017338,1.383600843726083,0.25067428704272626,False,False,92
009,034,2.5309009294545675,61.468911469642066,128.76360801997387,34.5999258050457,36.258440859083294,0.6551724137931034,0.6173285198555957,1726.9486545531424,2767.9818810619136,0.6239017192882104,0.0,0.0,7.137606787309551,1.3857646976601632,0.2501324509390466,False,False,93
050,052,6.425556326046454,95.8129745465343,101.2257338170095,18.32713522068775,18.36086454861072,0.3333333333333333,0.3288590604026846,966.9598883324834,2981.9721384372606,0.3242685858356915,0.0,0.0,5.688578174095255,1.4063110120078006,0.24504558806609922,False,False,94
004,053,13.660905783262761,42.58873822407438,40.16980583002914,19.56527244470942,18.06575808308594,1.0,0.8300970873786407,1951.9838084432172,2049.7240785761946,0.952315401299832,0.0,0.0,0.22748443592615786,1.40667955944876,0.24495529378158484,False,False,95
006,030,13.07987222474695,30.64026301858304,167.03968150545393,16.80406532304096,16.333544178652005,0.7692307692307693,0.7330508474576272,1887.0095400267464,2553.990148989363,0.7388476188028575,0.0,0.0,5.952420801928383,1.42155759876759,0.24133781650290229,False,False,96
013,029,0.9889731560959777,55.51832852755851,55.54194437502465,42.69950361325664,42.14660900165177,0.8275862068965517,0.797153024911032,2298.994913865267,2799.0198260254997,0.8213571381270818,0.0,0.0,4.21720712649028,1.4286818291778525,0.23962458028243738,False,False,97
014,029,1.0308949132172256,65.70603037114249,220.05227393356245,40.29540416235477,44.17258001973073,0.7407407407407407,0.7007575757575758,1852.9451225655264,2626.980161966353,0.7053517759260716,0.0,0.0,4.897785746027239,1.4292898898978672,0.2394789182777774,False,False,98
014,034,1.4163033645880483,75.99731017886286,205.75048564159943,40.52658866284253,44.10348032042782,0.6,0.5684210526315789,1622.928382555965,2853.979633527224,0.5686545073729883,0.0,0.0,0.5810772266647746,1.4383013704352072,0.2373305531802108,False,False,99
