scope,outcome,predictor,predictor_category,n,pearson_r,pearson_p,spearman_rho,spearman_p,ols_slope,theil_sen_slope
leave027_out,offset_tilt_explained_fraction,v_center_px,coverage,29,0.09483909159580807,0.6245838226948245,0.09359605911330048,0.6291513192725375,7.27155208156571e-05,6.950414149218458e-05
leave027_out,offset_tilt_explained_fraction,v_span_px,coverage,29,-0.015363610685569167,0.9369524930791414,-0.049753694581280775,0.797715472669586,-1.0160803419548129e-05,-3.987358254840995e-05
leave027_out,offset_tilt_explained_fraction,lambda_span_mm,coverage,29,0.3341827959440111,0.07642649464058837,0.16256157635467974,0.3994864516581881,0.0030610531500334555,0.0025623251904130485
leave027_out,offset_tilt_explained_fraction,chess_to_laser_s,acquisition_timing,29,-0.3330892686684454,0.07745402037782528,-0.1906403940886699,0.32188333132055724,-0.005226848551736684,-0.00398270845682298
leave027_out,offset_tilt_explained_fraction,nolaser_to_laser_s,acquisition_timing,29,-0.31509367318711484,0.0959305223533864,-0.18226600985221672,0.3439869443590987,-0.005164315807470835,-0.0029813216285584265
leave027_out,offset_tilt_explained_fraction,chess_focus_laplacian,image_quality,29,0.04692058616027538,0.8090176606573659,-0.05714285714285713,0.7684306031429864,0.0006716354905436837,-0.0007824095219098525
leave027_out,offset_tilt_explained_fraction,chess_mean_dn,image_quality,29,0.13275129176324518,0.49240442387668004,0.05714285714285713,0.7684306031429864,0.0024489066739871034,0.0007097207514806453
leave027_out,offset_tilt_explained_fraction,laser_mean_dn,image_quality,29,-0.03538420280888156,0.8554063358785409,-0.029064039408866992,0.8810318287809618,-0.5253187634854032,-1.2961932537948073
leave027_out,offset_tilt_explained_fraction,laser_p99_dn,image_quality,29,nan,nan,nan,nan,nan,nan
leave027_out,offset_tilt_explained_fraction,laser_dynamic_range_u8,image_quality,29,0.08511227194674824,0.6606757448691688,0.14226350566279414,0.4616271534195526,0.009652966090522068,0.01770088360625416
leave027_out,offset_tilt_explained_fraction,laser_coverage,image_quality,29,-0.031088643119636012,0.8728088930783323,0.031538747996159994,0.8709825197616266,-0.0795564735800749,0.012927627601964229
leave027_out,offset_tilt_explained_fraction,quality_warning_count,image_quality,29,0.007323609004105723,0.9699233323355835,-0.007847060257179305,0.9677746838306016,0.003888055224564292,-0.0039109373672702175
leave027_out,offset_tilt_explained_fraction,acquisition_order,acquisition_order,29,-0.17511335484009183,0.36357077438301094,-0.16551724137931031,0.3908532089207225,-0.004276533195799223,-0.004686306923032184
