column_u_px,bias_mm
444,6.2447834799999997
445,6.2419049100000006
446,6.2431688620000001
447,6.2469382050000002
448,6.2508603750000002
449,6.2524580054999994
450,6.2515066580000003
451,6.2464050970000002
452,6.2388400590000002
453,6.2292359225
454,6.2183616540000006
455,6.2072686954999998
456,6.1970382785
457,6.1888799109999999
458,6.183387626
459,6.1801238019999998
460,6.1794834504999994
461,6.1779399195
462,6.1742827699999996
463,6.1679429124999992
464,6.1582122854999994
465,6.1459095499999998
466,6.1308485770000001
467,6.1135897005000004
468,6.0952954085000002
469,6.0775277039999995
470,6.0616416505000004
471,6.0493656969999998
472,6.0403058349999998
473,6.0332558155000005
474,6.0276370974999995
475,6.0227213759999998
476,6.0178356940000004
477,6.0127826295000002
478,6.0068209084999999
479,5.9988033094999995
480,5.9876679295000006
481,5.9734359064999998
482,5.957136148
483,5.9400324174999994
484,5.9239550395
485,5.9104931369999996
486,5.9012246424999999
487,5.8950622859999999
488,5.8908938160000002
489,5.8872546129999996
490,5.8827175265000005
491,5.8769673894999999
492,5.8703878375
493,5.8642570164999999
494,5.8588221825
495,5.8544198969999997
496,5.8512117655000004
497,5.8472334549999996
498,5.8404435330000002
499,5.8291859484999993
500,5.8150826440000003
501,5.8004617695
502,5.7863163140000005
503,5.7734880344999997
504,5.7629388850000005
505,5.754902908
506,5.7483441129999999
507,5.7413188339999994
508,5.7333482230000001
509,5.726677542
510,5.7192256520000004
511,5.7104292409999999
512,5.7002098994999999
513,5.6908472420000003
514,5.6824023529999996
515,5.6729389299999999
516,5.662573096
517,5.6525972929999995
518,5.6422679270000007
519,5.6325417030000002
520,5.6234283390000002
521,5.6143728750000008
522,5.6051769745
523,5.5957830160000004
524,5.5863098939999993
525,5.5777333005000003
526,5.5707211614999999
527,5.5661528370000006
528,5.5649484314999995
529,5.5648980019999996
530,5.5632652345000002
531,5.5565771530000001
532,5.5429075885000003
533,5.5244742359999996
534,5.5019913530000002
535,5.4792026585000002
536,5.4597303674999997
537,5.4438004160000002
538,5.4316018740000001
539,5.4219995164999997
540,5.4139534900000008
541,5.4075857085000001
542,5.4022214924999998
543,5.3972498949999999
544,5.3924622500000003
545,5.3885316999999997
546,5.3847512475000006
547,5.3811829514999996
548,5.3757309764999999
549,5.3690053249999998
550,5.359644898
551,5.3488419629999999
552,5.335780239
553,5.3223681914999998
554,5.3091455090000004
555,5.2968324510000002
556,5.2860523604999994
557,5.276614865
558,5.2697174740000001
559,5.2647373799999997
560,5.260618655
561,5.256391775
562,5.2525163435
563,5.2486153150000003
564,5.2451263089999998
565,5.2394246019999997
566,5.232344769
567,5.2233017879999997
568,5.2141129725000006
569,5.2050654289999994
570,5.1965676079999996
571,5.1896367125000005
572,5.1827684354999999
573,5.1753242989999997
574,5.1674314574999993
575,5.1588298375000008
576,5.1494127944999999
577,5.1393036465000002
578,5.1293227605
579,5.1202071599999996
580,5.1104637264999999
581,5.1010012299999996
582,5.0899829754999999
583,5.0768038855000004
584,5.0613988729999999
585,5.0446009974999999
586,5.0266939580000001
587,5.0097170205000001
588,4.9951239369999998
589,4.9837853934999998
590,4.9757885905000006
591,4.9712622440000001
592,4.9685576539999996
593,4.9660319840000007
594,4.9623584200000002
595,4.9570095114999999
596,4.948847282
597,4.938884013
598,4.9279103959999997
599,4.9172322780000002
600,4.9069682760000006
601,4.8973870804999997
602,4.8895035915000005
603,4.883340306
604,4.8785889974999996
605,4.8745226395000003
606,4.8699676004999999
607,4.8646828845000005
608,4.8576219009999999
609,4.8481480819999998
610,4.8382629069999998
611,4.8267199529999996
612,4.8157816315000002
613,4.8053477549999997
614,4.795188971
615,4.7857536859999996
616,4.7762657199999996
617,4.7670260185000002
618,4.7590687989999996
619,4.7522230294999996
620,4.7463985725000004
621,4.7384441969999997
622,4.7311693520000002
623,4.7251024430000008
624,4.7174956009999995
625,4.7063992304999998
626,4.6948875574999995
627,4.6843166109999999
628,4.6757581310000003
