bin_width_px,v_start_px,v_end_px,v_center_px,model,frame027_point_count,original_status,leave027_status,original_point_count,leave027_point_count,original_unique_frame_count,leave027_unique_frame_count,original_u_ref_px,leave027_u_ref_px,original_b_mm,leave027_b_mm,delta_b_leave_minus_original_mm,original_delta_g_mm_per_px,leave027_delta_g_mm_per_px,delta_g_leave_minus_original_mm_per_px,original_weighted_rmse_mm,leave027_weighted_rmse_mm
30,2910,2940,2925.0,M0,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,2910,2940,2925.0,M_local_fullfit,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,2940,2970,2955.0,M0,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,2940,2970,2955.0,M_local_fullfit,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,2970,3000,2985.0,M0,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,2970,3000,2985.0,M_local_fullfit,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
60,0,60,30.0,M0,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
60,0,60,30.0,M_local_fullfit,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
60,60,120,90.0,M0,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
60,60,120,90.0,M_local_fullfit,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
60,120,180,150.0,M0,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
60,120,180,150.0,M_local_fullfit,0,no_data,no_data,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
60,180,240,210.0,M0,0,insufficient_frames,insufficient_frames,1,1,1,1,2071.423531377006,2071.423531377006,nan,nan,nan,nan,nan,nan,nan,nan
60,180,240,210.0,M_local_fullfit,0,insufficient_frames,insufficient_frames,1,1,1,1,2071.423531377006,2071.423531377006,nan,nan,nan,nan,nan,nan,nan,nan
