scenario,candidate,model,interior_knot_count,basis_count,smoothness_penalty,v_bin_index,v_bin,v_start_px,v_end_px,point_count,frame_count,bias_mm,rmse_mm,p95_abs_mm,p99_abs_mm,max_abs_mm
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,20,v_2000_2100,2000.0,2100.0,1126,30,0.009973015902239504,0.06659659953673448,0.1290285978546424,0.17536233858463568,0.2410398596762206
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,21,v_2100_2200,2100.0,2200.0,842,25,0.00743196396530471,0.07003394740572626,0.14729945262568994,0.1824650088174553,0.2604344276544452
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,22,v_2200_2300,2200.0,2300.0,689,23,0.0214009164874045,0.0691235675573569,0.140755338495021,0.19238970771727107,0.2942356733212818
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,23,v_2300_2400,2300.0,2400.0,948,24,0.03955359726595571,0.07885291658835736,0.13442866467890885,0.2894473177349534,0.5468938822320979
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,24,v_2400_2500,2400.0,2500.0,1089,24,0.045896897463021856,0.07342255009189358,0.1562786992023046,0.2211319181943826,0.2235989540171203
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,25,v_2500_2600,2500.0,2600.0,813,24,0.027843471139610186,0.06585753335022303,0.13408227072193352,0.18141991312479297,0.2600665925551766
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,26,v_2600_2700,2600.0,2700.0,441,20,0.007666429355021539,0.059935531197308135,0.12657093232634187,0.19154606362517781,0.2209102815943424
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,27,v_2700_2800,2700.0,2800.0,541,18,-0.050285897794756035,0.08863257425615513,0.14868127869897046,0.22527681330694702,0.4147937548120808
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,28,v_2800_2900,2800.0,2900.0,580,15,-0.09579441420854594,0.1053780795847208,0.15652447863847269,0.18036562192537503,0.2298343950697017
full36_grouped_cv_non027,C1_3k,C0,3,7,0.1,29,v_2900_3000,2900.0,3000.0,345,11,-0.11558182120164216,0.12520313842849357,0.1751714027781555,0.19237534066638656,0.2392512818067871
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,0,v_0000_0100,0.0,100.0,323,11,0.023165958732396765,0.078123948952138,0.13516807213207252,0.17666243402158693,0.20227994601350047
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,1,v_0100_0200,100.0,200.0,601,17,0.05175245662120868,0.11034898527512176,0.1999357531448731,0.3197079615925121,0.3662892808060753
full36_grouped_cv_non027,C1_3k,C0+C1,3,7,0.1,2,v_0200_0300,200.0,300.0,844,21,0.07116396793394775,0.11918063193904617,0.19001668402030564,0.3517561452509548,0.4769458277571898
