u,v,Xc_mm,Yc_mm,Zc_mm,Xg_mm,Yg_mm,Zg_mm
2124.487868,737.000000,5.274861,-75.299229,713.352509,5.287160,75.304966,-0.156275
2124.441972,738.000000,5.270310,-75.200939,713.342038,5.282181,75.206594,-0.146822
2124.434643,739.000000,5.269596,-75.103949,713.343877,5.281586,75.109623,-0.149484
2124.451884,740.000000,5.271326,-75.007784,713.353558,5.283783,75.013540,-0.159864
2124.457055,741.000000,5.271856,-74.911212,713.359385,5.284609,74.917018,-0.166451
2124.432992,742.000000,5.269477,-74.813659,713.355879,5.282111,74.819440,-0.163853
2124.388875,743.000000,5.265104,-74.715436,713.345969,5.277334,74.721140,-0.154952
2124.339944,744.000000,5.260251,-74.617055,713.334523,5.272010,74.622669,-0.144539
2124.310827,745.000000,5.257370,-74.519339,713.329400,5.268938,74.524914,-0.140350
2124.317866,746.000000,5.258085,-74.422829,713.335817,5.269975,74.428460,-0.147517
2124.357627,747.000000,5.262056,-74.327407,713.352678,5.274732,74.333178,-0.164964
2124.384465,748.000000,5.264741,-74.231550,713.365414,5.278020,74.237429,-0.178350
2124.344591,749.000000,5.260789,-74.133476,713.356852,5.273725,74.139288,-0.170775
2124.272643,750.000000,5.253648,-74.034342,713.338050,5.265784,74.040003,-0.153124
2124.217334,751.000000,5.248161,-73.935763,713.324560,5.259736,73.941318,-0.140699
2124.173993,752.000000,5.243865,-73.837584,713.314889,5.255047,73.843063,-0.132033
2124.127364,753.000000,5.239243,-73.739300,713.304168,5.249985,73.744694,-0.122334
2124.080033,754.000000,5.234550,-73.640995,713.293222,5.244843,73.646303,-0.112413
2124.042212,755.000000,5.230804,-73.543007,713.285310,5.240782,73.548253,-0.105478
2124.027101,756.000000,5.229316,-73.445768,713.284645,5.239302,73.451012,-0.105675
2124.048710,757.000000,5.231480,-73.349734,713.295699,5.241994,73.355072,-0.117406
2124.087164,758.000000,5.235320,-73.254251,713.312128,5.246601,73.259726,-0.134427
2124.088260,759.000000,5.235444,-73.157539,713.316632,5.246962,73.163055,-0.139712
2124.008840,760.000000,5.227560,-73.058194,713.295437,5.238173,73.063539,-0.119704
2123.929953,761.000000,5.219730,-72.958871,713.274412,5.229446,72.964048,-0.099864
2120.076963,966.000000,4.840189,-53.015256,712.871333,4.839547,53.017802,0.122739
2120.165935,967.000000,4.849032,-52.920592,712.903588,4.849860,52.923405,0.090139
2120.335048,968.000000,4.865826,-52.827814,712.961386,4.869259,52.831103,0.032394
2120.463914,969.000000,4.878630,-52.734071,713.006364,4.884098,52.737731,-0.012730
2120.514260,970.000000,4.883642,-52.638468,713.026313,4.890034,52.642295,-0.033216
2120.524554,971.000000,4.884680,-52.541918,713.033493,4.891427,52.545807,-0.041131
2120.504225,972.000000,4.882678,-52.444648,713.030910,4.889347,52.448519,-0.039436
2120.479681,973.000000,4.880258,-52.347280,713.026982,4.886790,52.351122,-0.036416
2120.454576,974.000000,4.877783,-52.249900,713.022874,4.884169,52.253712,-0.033220
2120.484644,975.000000,4.880783,-52.153809,713.036353,4.887804,52.157734,-0.047337
2120.428588,976.000000,4.875236,-52.055709,713.022376,4.881673,52.059523,-0.034424
2120.375801,977.000000,4.870014,-51.957688,713.009440,4.875913,51.961400,-0.022537
2120.327063,978.000000,4.865193,-51.859765,712.997795,4.870611,51.863385,-0.011920
2120.265573,979.000000,4.859108,-51.761551,712.982083,4.863865,51.765045,0.002700
2120.211377,980.000000,4.853746,-51.663509,712.968696,4.857945,51.666897,0.015031
2120.189683,981.000000,4.851610,-51.566221,712.965668,4.855711,51.569587,0.017165
2120.223944,982.000000,4.855025,-51.470222,712.980473,4.859821,51.473712,0.001743
2120.302854,983.000000,4.862871,-51.375245,713.009510,4.868994,51.378976,-0.027689
2120.363967,984.000000,4.868951,-51.279852,713.032875,4.876149,51.283778,-0.051537
2120.359769,985.000000,4.868551,-51.182957,713.035418,4.875898,51.186907,-0.054888
