weighting,profile_type,t,weak_singular_value,weak_to_strong_ratio,invalid_count,theta_axis_rad,phi_axis_rad,A_x_mm,A_y_mm,A_z_mm,alpha_rad,alpha_deg,rmse_mm,p95_abs_mm,residual_energy,explained_fraction_vs_theta0
frame_equal,weak_singular_direction,-4.4,2.35251196208e-05,1.62530478878e-06,0,2.57874857817,-0.00565943086145,-374.175484323,92.4192375435,478.484394847,1.56151991175,89.4685005689,0.0387049843081,0.0806760216815,26.3122035319,0.958690165137
frame_equal,weak_singular_direction,-4.2,2.35251196208e-05,1.62530478878e-06,0,2.57876863276,-0.00563311157911,-372.582425184,91.7471694357,479.4623769,1.5615603487,89.4708174356,0.0378979752063,0.0792882506195,25.2264096005,0.960394848211
frame_equal,weak_singular_direction,-4,2.35251196208e-05,1.62530478878e-06,0,2.57878868734,-0.00560679229677,-370.989366046,91.075101328,480.440358952,1.56160078565,89.4731343023,0.0371841534136,0.0782918736001,24.2850624599,0.961872751606
frame_equal,weak_singular_direction,-3.8,2.35251196208e-05,1.62530478878e-06,0,2.57880874192,-0.00558047301443,-369.396306908,90.4030332202,481.418341004,1.56164122261,89.4754511691,0.0365585267939,0.0771726996252,23.4747405799,0.963144946958
frame_equal,weak_singular_direction,-3.6,2.35251196208e-05,1.62530478878e-06,0,2.5788287965,-0.00555415373209,-367.80324777,89.7309651125,482.396323057,1.56168165956,89.4777680358,0.0360156008641,0.0765714065533,22.7826772524,0.964231477843
frame_equal,weak_singular_direction,-3.4,2.35251196208e-05,1.62530478878e-06,0,2.57884885109,-0.00552783444975,-366.210188631,89.0588970048,483.374305109,1.56172209651,89.4800849025,0.0355494662924,0.0765003202796,22.1967606208,0.965151359724
frame_equal,weak_singular_direction,-3.2,2.35251196208e-05,1.62530478878e-06,0,2.57886890567,-0.00550151516741,-364.617129493,88.386828897,484.352287162,1.56176253347,89.4824017692,0.0351539005528,0.0763532948332,21.7055336617,0.965922579989
frame_equal,weak_singular_direction,-3,2.35251196208e-05,1.62530478878e-06,0,2.57888896025,-0.00547519588507,-363.024070355,87.7147607893,485.330269214,1.56180297042,89.484718636,0.0348224783807,0.0759258811483,21.2981942301,0.96656209787
frame_equal,weak_singular_direction,-2.8,2.35251196208e-05,1.62530478878e-06,0,2.57890901484,-0.00544887660273,-361.431011217,87.0426926815,486.308251266,1.56184340737,89.4870355027,0.0345486852231,0.0757325902689,20.9645950319,0.967085844494
frame_equal,weak_singular_direction,-2.6,2.35251196208e-05,1.62530478878e-06,0,2.57892906942,-0.00542255732039,-359.837952079,86.3706245738,487.286233319,1.56188384432,89.4893523694,0.0343260284099,0.0756687692648,20.6952436405,0.967508722855
